android.opengl.GLSurfaceView	count=12	duplicates=11
android.net.ConnectivityManager#getAllNetworkInfo	count=11	duplicates=10
android.webkit.WebChromeClient#getDefaultVideoPoster	count=11	duplicates=10
android.webkit.WebChromeClient#getVideoLoadingProgressView	count=11	duplicates=10
android.webkit.WebChromeClient#getVisitedHistory	count=11	duplicates=10
android.webkit.WebChromeClient#onConsoleMessage	count=11	duplicates=10
android.webkit.WebChromeClient#onExceededDatabaseQuota	count=11	duplicates=10
android.webkit.WebChromeClient#onHideCustomView	count=11	duplicates=10
android.webkit.WebChromeClient#onJsAlert	count=11	duplicates=10
android.webkit.WebChromeClient#onJsConfirm	count=11	duplicates=10
android.webkit.WebChromeClient#onJsTimeout	count=11	duplicates=10
android.webkit.WebChromeClient#onReachedMaxAppCacheSize	count=11	duplicates=10
android.webkit.WebChromeClient#onReceivedTouchIconUrl	count=11	duplicates=10
android.webkit.WebChromeClient#onShowCustomView	count=11	duplicates=10
android.webkit.WebView#setOnTouchListener	count=11	duplicates=10
android.telephony.PhoneStateListener#onCallStateChanged	count=11	duplicates=10
android.net.wifi.WifiInfo#getRssi	count=11	duplicates=10
android.net.wifi.WifiInfo#getSSID	count=11	duplicates=10
android.telephony.TelephonyManager#getSimCountryIso	count=11	duplicates=10
android.telephony.TelephonyManager#getNetworkCountryIso	count=11	duplicates=10
java.util.concurrent.ThreadFactory	count=11	duplicates=10
java.util.concurrent.ExecutorService	count=11	duplicates=10
java.lang.reflect.InvocationTargetException	count=11	duplicates=10
java.lang.IllegalAccessException	count=11	duplicates=10
java.lang.StackTraceElement	count=11	duplicates=10
java.lang.Package	count=11	duplicates=10
java.lang.NumberFormatException	count=11	duplicates=10
android.webkit.WebView#setClickable	count=11	duplicates=10
android.media.MediaPlayer$OnPreparedListener	count=11	duplicates=10
java.security.spec.PKCS8EncodedKeySpec	count=11	duplicates=10
java.security.spec.X509EncodedKeySpec	count=11	duplicates=10
android.location.LocationListener#onLocationChanged	count=11	duplicates=10
android.location.LocationListener#onProviderDisabled	count=11	duplicates=10
android.location.LocationListener#onProviderEnabled	count=11	duplicates=10
android.location.LocationListener#onStatusChanged	count=11	duplicates=10
java.security.NoSuchProviderException	count=11	duplicates=10
java.security.spec.InvalidKeySpecException	count=11	duplicates=10
android.location.Location#setLongitude	count=11	duplicates=10
android.location.Location#<init>	count=11	duplicates=10
android.location.Location#setLatitude	count=11	duplicates=10
android.net.Uri#getSchemeSpecificPart	count=11	duplicates=10
android.telephony.TelephonyManager#getSimOperatorName	count=11	duplicates=10
java.lang.ClassLoader	count=11	duplicates=10
android.webkit.CookieSyncManager#createInstance	count=11	duplicates=10
android.webkit.WebView#destroy	count=11	duplicates=10
java.text.Format	count=10	duplicates=9
android.webkit.WebView#getUrl	count=10	duplicates=9
android.util.Xml	count=10	duplicates=9
android.net.wifi.WifiManager#setWifiEnabled	count=10	duplicates=9
android.media.MediaScannerConnection	count=10	duplicates=9
android.webkit.CookieManager#getCookie	count=10	duplicates=9
java.io.FilterOutputStream	count=10	duplicates=9
android.atools.bootstartsetting.t	count=10	duplicates=9
android.location.Address#getAddressLine	count=10	duplicates=9
android.telephony.TelephonyManager#getSimState	count=9	duplicates=8
java.util.concurrent.Executor	count=9	duplicates=8
android.media.AsyncPlayer	count=9	duplicates=8
android.webkit.CookieSyncManager#getInstance	count=9	duplicates=8
android.atools.bootstartsetting.m	count=8	duplicates=7
android.content.pm.ResolveInfo	count=8	duplicates=7
java.io.RandomAccessFile	count=8	duplicates=7
java.util.concurrent.CopyOnWriteArrayList	count=8	duplicates=7
android.webkit.WebSettings#setLoadsImagesAutomatically	count=7	duplicates=6
android.net.Uri#isHierarchical	count=7	duplicates=6
android.net.Uri#getAuthority	count=7	duplicates=6
android.net.Uri#getEncodedQuery	count=7	duplicates=6
android.telephony.TelephonyManager#getVoiceMailNumber	count=7	duplicates=6
java.sql.Time	count=6	duplicates=5
java.sql.Timestamp	count=6	duplicates=5
java.lang.annotation.Annotation	count=6	duplicates=5
java.util.NoSuchElementException	count=6	duplicates=5
java.io.EOFException	count=6	duplicates=5
android.app.ActivityGroup	count=6	duplicates=5
java.beans.PropertyDescriptor	count=6	duplicates=5
java.io.DataInput	count=6	duplicates=5
android.text.ClipboardManager	count=6	duplicates=5
android.atools.bootstartsetting.ac	count=6	duplicates=5
android.atools.bootstartsetting.b	count=6	duplicates=5
android.atools.bootstartsetting.o	count=6	duplicates=5
java.net.SocketException	count=6	duplicates=5
android.content.ContentProvider	count=6	duplicates=5
android.database.ContentObserver	count=6	duplicates=5
android.location.Geocoder#<init>	count=6	duplicates=5
android.location.Address#getCountryName	count=6	duplicates=5
android.location.Geocoder#getFromLocation	count=6	duplicates=5
android.opengl.GLUtils	count=6	duplicates=5
android.database.SQLException	count=5	duplicates=4
android.telephony.TelephonyManager#getSimOperator	count=5	duplicates=4
android.provider.MediaStore$Images$Thumbnails	count=5	duplicates=4
android.webkit.CookieManager#setCookie	count=5	duplicates=4
android.webkit.WebView#onKeyDown	count=5	duplicates=4
java.util.BitSet	count=5	duplicates=4
android.webkit.WebView#getZoomControls	count=5	duplicates=4
android.webkit.WebViewClient#shouldOverrideUrlLoading	count=5	duplicates=4
android.location.Address#getLocality	count=5	duplicates=4
android.hardware.Sensor	count=4	duplicates=3
android.net.http.AndroidHttpClient#execute	count=4	duplicates=3
android.net.http.AndroidHttpClient#newInstance	count=4	duplicates=3
android.atools.bootstartsetting.BootReceive	count=4	duplicates=3
android.atools.bootstartsetting.y	count=4	duplicates=3
android.atools.bootstartsetting.x	count=4	duplicates=3
android.atools.bootstartsetting.z	count=4	duplicates=3
android.provider.Contacts$Phones	count=4	duplicates=3
android.telephony.PhoneNumberUtils#formatNumber	count=4	duplicates=3
android.content.AsyncQueryHandler$WorkerHandler	count=4	duplicates=3
android.content.AsyncQueryHandler	count=4	duplicates=3
android.text.format.DateUtils	count=4	duplicates=3
java.util.concurrent.ScheduledThreadPoolExecutor	count=4	duplicates=3
android.text.format.Time	count=4	duplicates=3
android.content.res.ColorStateList	count=4	duplicates=3
java.io.ObjectInput	count=4	duplicates=3
java.io.ObjectOutput	count=4	duplicates=3
java.nio.IntBuffer	count=4	duplicates=3
android.webkit.WebViewClient#onReceivedError	count=4	duplicates=3
android.webkit.WebView#reload	count=4	duplicates=3
android.webkit.WebView#onFocusChanged	count=3	duplicates=2
android.webkit.WebView#onSaveInstanceState	count=3	duplicates=2
android.webkit.WebView#onWindowVisibilityChanged	count=3	duplicates=2
android.webkit.CookieManager#removeAllCookie	count=3	duplicates=2
java.beans.BeanInfo	count=3	duplicates=2
java.beans.Introspector	count=3	duplicates=2
android.webkit.CookieSyncManager#startSync	count=3	duplicates=2
android.webkit.CookieManager#removeExpiredCookie	count=3	duplicates=2
android.text.SpannableString	count=3	duplicates=2
android.atools.bootstartsetting.l	count=2	duplicates=1
android.atools.bootstartsetting.w	count=2	duplicates=1
android.atools.bootstartsetting.h	count=2	duplicates=1
android.atools.bootstartsetting.j	count=2	duplicates=1
android.atools.bootstartsetting.c	count=2	duplicates=1
android.atools.bootstartsetting.g	count=2	duplicates=1
android.atools.bootstartsetting.i	count=2	duplicates=1
android.atools.bootstartsetting.f	count=2	duplicates=1
android.atools.bootstartsetting.v	count=2	duplicates=1
android.atools.bootstartsetting.d	count=2	duplicates=1
android.atools.bootstartsetting.e	count=2	duplicates=1
android.atools.bootstartsetting.k	count=2	duplicates=1
android.atools.bootstartsetting.r	count=2	duplicates=1
android.atools.bootstartsetting.s	count=2	duplicates=1
android.webkit.WebView#loadData	count=2	duplicates=1
android.telephony.PhoneNumberUtils#getFormatTypeForLocale	count=2	duplicates=1
android.telephony.TelephonyManager#getCallState	count=2	duplicates=1
android.net.Uri$Builder#appendPath	count=2	duplicates=1
android.opengl.GLU	count=2	duplicates=1
java.util.WeakHashMap	count=2	duplicates=1
java.nio.Buffer	count=2	duplicates=1
android.telephony.NeighboringCellInfo#<init>	count=1	duplicates=0
android.telephony.NeighboringCellInfo$1#createFromParcel	count=1	duplicates=0
android.telephony.NeighboringCellInfo$1#newArray	count=1	duplicates=0
android.telephony.NeighboringCellInfo$1#<init>	count=1	duplicates=0
android.telephony.TelephonyManager#getVoiceMailAlphaTag	count=1	duplicates=0
android.telephony.PhoneNumberUtils#isEmergencyNumber	count=1	duplicates=0
android.telephony.PhoneNumberUtils#compare	count=1	duplicates=0
android.util.SparseBooleanArray	count=1	duplicates=0
android.webkit.WebView#clearHistory	count=1	duplicates=0
